Participation ballot #,Start date,End date,Duration,Program,Gender,Question 1: Do you Want to be Matched with Second Year Peer Mentor? <br><br>If the answer is yes you are in the right place.  If the answer is no then you can just say no and close this survey.,Question 6.1 (Female): Gender,Question 6.2 (Male): Gender,Question 6.3 (Other): Gender,Question 7.1 (Yes): Are you an international student?,Question 7.2 (No): Are you an international student?,Question 7.3 (I prefer not to answer): Are you an international student?,Question 8: What high school did you attend?,Question 10.1 (English): What languages do you speak?,Question 10.2 (French): What languages do you speak?,Question 10.3 (Other please specify.): What languages do you speak?,Question 10.3 (Other please specify. - Text entered): What languages do you speak?,Question 11.1 (English): What language would you prefer to speak with your mentor?,Question 11.2 (French): What language would you prefer to speak with your mentor?,Question 11.3 (Other please specify.): What language would you prefer to speak with your mentor?,Question 11.3 (Other please specify. - Text entered): What language would you prefer to speak with your mentor?,Question 12: Would you prefer being matched with someone of the same gender?,Question 13: Are you involved in any extra-curricular activities (clubs sports and/or volunteering)?,Question 13 (Text entered): Are you involved in any extra-curricular activities (clubs sports and/or volunteering)?,Question 14: Do you hope to get involved in any extra-curricular activities (clubs sports volunteering or certificates?) this semester at the College?,Question 14 (Text entered): Do you hope to get involved in any extra-curricular activities (clubs sports volunteering or certificates?) this semester at the College?,Question 15: Do you have any other hobbies or interests you would like to share?,Question 15 (Text entered): Do you have any other hobbies or interests you would like to share?,,
20,"July 10th, 2023 19:56:01","July 10th, 2023 20:12:34",0:16:33,200.B1 Health Science,M,1,0,1,0,0,1,0,'John F. Kennedy High School,1,1,1,'Arabic,1,0,0,,2,2,,1,"'Biology Club, Commerce Club, Debate Club, Health Science Club, Investment Club, Mathematical Association, Scientific Journals Club, Young Executive Business Club",1,"'Soccer, Volleyball, Listening to music, Badminton, Watching Shows & Movies",,
21,"July 10th, 2023 20:12:04","July 10th, 2023 20:13:21",0:01:17,200.B1 Health Science,F,2,,,,,,,,,,,,,,,,,,,,,,,,
22,"July 10th, 2023 20:23:08","July 10th, 2023 20:23:44",0:00:36,200.B1 Health Science,F,2,,,,,,,,,,,,,,,,,,,,,,,,
23,"July 10th, 2023 20:26:41","July 10th, 2023 20:32:22",0:05:41,200.B1 Health Science,F,1,1,0,0,0,0,1,'Collège de Montréal,1,1,1,'Korean,1,0,0,,1,2,,1,"'I don’t know which one yet, but I’d like to get involved in a club.",1,'drawing/arts,,
24,"July 10th, 2023 20:38:31","July 10th, 2023 20:40:47",0:02:16,200.B1 Health Science,F,1,1,0,0,0,1,0,'ecole internationale de montreal,1,1,1,"'russian, a bit of hebrew",1,1,0,,2,1,"'taekwondo, swimming, hillel, helping out in a synagogue",1,'hillel,1,'chess,,
25,"July 10th, 2023 20:50:24","July 10th, 2023 20:50:38",0:00:14,200.B1 Health Science,M,2,,,,,,,,,,,,,,,,,,,,,,,,
26,"July 10th, 2023 20:52:37","July 10th, 2023 20:53:12",0:00:35,200.B2 Pure & Applied Science,M,2,,,,,,,,,,,,,,,,,,,,,,,,
27,"July 10th, 2023 20:53:09","July 10th, 2023 20:53:33",0:00:24,300.CM Social Sc. - Commerce,M,2,,,,,,,,,,,,,,,,,,,,,,,,
28,"July 10th, 2023 21:11:13","July 10th, 2023 21:11:32",0:00:19,300.CM Social Sc. - Commerce,M,2,,,,,,,,,,,,,,,,,,,,,,,,
29,"July 10th, 2023 21:28:44","July 10th, 2023 21:33:43",0:04:59,200.HH Honours Health Science,F,1,1,0,0,0,1,0,'École Internationale Lucille-Teasdale,1,1,1,'Arabic,1,0,0,,1,2,,1,'I would like to volunteer and join a club.,2,,,
30,"July 10th, 2023 21:38:06","July 10th, 2023 21:38:14",0:00:08,200.B1 Health Science,M,2,,,,,,,,,,,,,,,,,,,,,,,,
31,"July 10th, 2023 21:37:46","July 10th, 2023 21:42:46",0:05:00,300.CM Social Sc. - Commerce,F,2,,,,,,,,,,,,,,,,,,,,,,,,
32,"July 10th, 2023 21:35:07","July 10th, 2023 21:45:15",0:10:08,300.CM Social Sc. - Commerce,M,1,0,1,0,0,1,0,'Royal Vale,1,0,1,'Spanish,1,0,1,'Spanish,2,2,,2,,1,"'Reading, Sleeping,Cooking",,
33,"July 10th, 2023 22:03:40","July 10th, 2023 22:04:10",0:00:30,300.CM Social Sc. - Commerce,F,2,,,,,,,,,,,,,,,,,,,,,,,,
34,"July 10th, 2023 22:35:39","July 10th, 2023 22:41:06",0:05:27,300.CM Social Sc. - Commerce,F,1,1,0,0,0,1,0,'Lester B Pearson,1,1,0,,1,0,0,,1,2,,2,,2,,,
35,"July 10th, 2023 22:49:41","July 10th, 2023 22:49:58",0:00:17,200.B1 Health Science,F,2,,,,,,,,,,,,,,,,,,,,,,,,
36,"July 10th, 2023 22:52:18","July 10th, 2023 22:55:53",0:03:35,300.HB Social Sc. - Human Behavior,F,1,1,0,0,0,1,0,'Rosemount High School,1,1,1,'Bangla,1,1,0,,1,2,,1,"'Volleyball, Health Science, Psychology, Anime and music",2,,,
37,"July 10th, 2023 23:08:05","July 10th, 2023 23:08:38",0:00:33,300.L1 Social Sc. - LSJ,M,2,,,,,,,,,,,,,,,,,,,,,,,,
38,"July 10th, 2023 23:12:15","July 10th, 2023 23:12:42",0:00:27,200.B1 Health Science,M,2,,,,,,,,,,,,,,,,,,,,,,,,
39,"July 10th, 2023 23:38:11","July 10th, 2023 23:38:52",0:00:41,200.B1 Health Science,M,2,,,,,,,,,,,,,,,,,,,,,,,,
40,"July 10th, 2023 23:51:08","July 10th, 2023 23:52:47",0:01:39,300.HB Social Sc. - Human Behavior,F,1,1,0,0,0,1,0,'Louis-Riel,1,1,1,'Spanish,1,1,1,'Spanish,2,2,,1,'Volleyball,2,,,
41,"July 11th, 2023 00:55:59","July 11th, 2023 00:56:27",0:00:28,300.L1 Social Sc. - LSJ,F,2,,,,,,,,,,,,,,,,,,,,,,,,
42,"July 11th, 2023 00:38:54","July 11th, 2023 01:05:38",0:26:44,300.L1 Social Sc. - LSJ,F,1,1,0,0,0,1,0,'Collège Durocher Saint-Lambert, Law, Society and Justice,1,1,0,,1,0,0,,2,2,,1,"'debate club or study forum club, italian canadian student association, book club (mostly interested in debate club and study forum, or other academic centered clubs)",1,"'linguistics/etymology, video games"
43,"July 11th, 2023 04:15:59","July 11th, 2023 04:16:42",0:00:43,200.B2 Pure & Applied Science,M,2,,,,,,,,,,,,,,,,,,,,,,,,
44,"July 11th, 2023 06:15:10","July 11th, 2023 06:18:07",0:02:57,200.B1 Health Science,M,2,,,,,,,,,,,,,,,,,,,,,,,,
45,"July 11th, 2023 07:44:29","July 11th, 2023 07:44:59",0:00:30,200.B1 Health Science,F,2,,,,,,,,,,,,,,,,,,,,,,,,
46,"July 11th, 2023 08:58:43","July 11th, 2023 09:00:35",0:01:52,700.A0 Arts and Sciences,F,1,1,0,0,0,1,0,'Villa Maria,1,1,0,,1,0,0,,2,2,,2,,1,"'Makeup art, fashion",,
47,"July 11th, 2023 09:35:20","July 11th, 2023 09:38:52",0:03:32,200.B1 Health Science,M,1,0,1,0,0,1,0,'Kuper Academy,1,0,1,'Chinese,1,0,1,'Chinese,2,1,"'Film Club, Green Team",2,,1,'Ping-pong,,
48,"July 11th, 2023 10:00:14","July 11th, 2023 10:00:31",0:00:17,200.B1 Health Science,F,2,,,,,,,,,,,,,,,,,,,,,,,,
49,"July 11th, 2023 10:05:01","July 11th, 2023 10:05:38",0:00:37,200.B1 Health Science,F,2,,,,,,,,,,,,,,,,,,,,,,,,
50,"July 11th, 2023 10:31:39","July 11th, 2023 10:32:14",0:00:35,200.HP Honours Pure & Applied Science,M,2,,,,,,,,,,,,,,,,,,,,,,,,
51,"July 11th, 2023 10:46:58","July 11th, 2023 10:50:42",0:03:44,200.B1 Health Science,F,1,1,0,0,0,1,0,'Collège Sainte-Anne de Lachine,1,1,0,,1,0,0,,2,1,'I am currently completing a training to volunteer at CHUM hospital,1,'I would love to join clubs,1,'I love to deep research things that interest me,,
52,"July 11th, 2023 11:00:37","July 11th, 2023 11:03:25",0:02:48,300.L1 Social Sc. - LSJ,F,1,1,0,0,0,1,0,'Laval Senior Academy,1,1,1,'Greek,1,0,0,,2,1,'Ballet,1,'Karate,1,'Horseback Riding,,
53,"July 11th, 2023 11:31:06","July 11th, 2023 11:33:22",0:02:16,700.A0 Arts and Sciences,F,1,1,0,0,0,1,0,'Western Canada High School,1,0,0,,1,0,0,,2,2,,1,"'MUN, volunteering, as much as possible :)",2,,,
54,"July 11th, 2023 09:12:23","July 11th, 2023 11:42:06",2:29:43,200.B2 Pure & Applied Science,M,1,0,1,0,0,1,0,'École Internationale Lucille-Teasdale,1,1,1,'Mandarin,1,1,0,,2,2,,1,"'Dragonboat, YEBC, Programming club,",2,,,
55,"July 11th, 2023 11:58:58","July 11th, 2023 12:04:45",0:05:47,200.HH Honours Health Science,F,1,1,0,0,0,1,0,'Collège Sainte-Marcelline,1,1,1,"'Persian, Spanish",1,0,0,,1,1,"'Volunteer at the Neuro, Music",1,'I don't know yet,2,,,
56,"July 11th, 2023 12:10:36","July 11th, 2023 12:12:34",0:01:58,300.CM Social Sc. - Commerce,F,1,1,0,0,1,0,0,'Westmount high school,1,1,0,,1,0,0,,2,2,,1,"'volleyball, etc",2,,,
57,"July 11th, 2023 12:17:34","July 11th, 2023 12:22:23",0:04:49,200.B1 Health Science,F,1,1,0,0,0,1,0,'Villa Maria,1,1,1,'Ukrainian,1,0,0,,2,2,,1,"'Clubs, volunteering, anything",1,"'Nature walks, reading, poetry, music, history, art, etc.",,
58,"July 11th, 2023 12:22:34","July 11th, 2023 12:25:08",0:02:34,200.B2 Pure & Applied Science,M,1,0,1,0,0,1,0,'École secondaire Des Sources,1,1,1,'Farsi,1,0,0,,2,2,,2,,2,,,
59,"July 11th, 2023 12:21:16","July 11th, 2023 12:25:47",0:04:31,200.B2 Pure & Applied Science,F,1,1,0,0,0,1,0,'Villa Maria,1,1,1,'russian,0,1,0,,2,2,,1,"'i heard there was a lot of clubs in mariano, so i hope to join some, maybe neurology club if there is one",1,"'camping, spending time in nature, drawing, music",,
60,"July 11th, 2023 12:50:54","July 11th, 2023 12:55:23",0:04:29,200.B1 Health Science,F,1,1,0,0,0,1,0,'Collège Letendre,1,1,1,'Arabic,1,1,0,,1,1,'Volunteering at MUHC on Mondays,1,'A club related to research and/ or medicine,1,"'Baking, drawing and painting",,
61,"July 11th, 2023 12:40:19","July 11th, 2023 12:58:33",0:18:14,700.B0 Histoire et civilisation,F,1,1,0,0,0,1,0,'Westmount High School,1,1,1,'Arabic,1,0,0,,2,1,"'Volleyball, Graduation Committee, Best Buddies program.",1,"'Model UN, Marianopolis Student Union/Congress, Martial Arts Club, Shield of Athena, United For Literacy, face UP, RECLAIM.",1,"'Public speaking, anime, writing/poetry.",,
62,"July 11th, 2023 13:17:58","July 11th, 2023 13:19:08",0:01:10,200.B1 Health Science,F,2,,,,,,,,,,,,,,,,,,,,,,,,
63,"July 11th, 2023 13:12:34","July 11th, 2023 13:19:46",0:07:12,200.B2 Pure & Applied Science,F,1,1,0,0,0,1,0,'West Island College,1,1,1,'Russian,1,0,0,,1,2,,1,"'clubs, certificates",2,,,
64,"July 11th, 2023 13:58:46","July 11th, 2023 14:02:52",0:04:06,200.B1 Health Science,M,1,0,1,0,0,1,0,'École Évangeline,1,1,0,,1,1,0,,2,2,,2,,1,"'Gaming, photography, videography, cooking",,
65,"July 11th, 2023 14:47:38","July 11th, 2023 14:48:16",0:00:38,300.L2 Social Sc. - LSJ with Math,M,2,,,,,,,,,,,,,,,,,,,,,,,,
66,"July 11th, 2023 14:47:14","July 11th, 2023 14:52:12",0:04:58,200.B1 Health Science,F,1,1,0,0,0,1,0,'Villa Maria,1,1,0,,1,1,0,,2,1,'Soccer,1,'Soccer/clubs,1,'Sports/music,,
67,"July 11th, 2023 15:55:52","July 11th, 2023 15:58:00",0:02:08,300.L1 Social Sc. - LSJ,M,1,0,1,0,0,1,0,'Ecole Evangeline,1,1,0,,1,1,0,,2,2,,1,'United Nation and tennis,2,,,
68,"July 11th, 2023 16:06:16","July 11th, 2023 16:11:01",0:04:45,200.HH Honours Health Science,F,1,1,0,0,0,1,0,'secondaire Saint-Laurent,1,1,1,'Mandarin,1,1,1,'Mandarin,2,1,'volunteer,1,"'clubs, volunteer and certificates",1,'piano and tennis,,
69,"July 11th, 2023 16:20:23","July 11th, 2023 16:21:28",0:01:05,300.C1 Social Sc. - Core,F,2,,,,,,,,,,,,,,,,,,,,,,,,
70,"July 11th, 2023 16:28:03","July 11th, 2023 16:28:21",0:00:18,200.B2 Pure & Applied Science,F,2,,,,,,,,,,,,,,,,,,,,,,,,
71,"July 11th, 2023 16:24:10","July 11th, 2023 16:31:12",0:07:02,200.HH Honours Health Science,F,1,1,0,0,0,1,0,'Collège Durocher Saint-Lambert,1,1,1,'Mandarin,1,0,0,,2,1,"'English tutoring, horse back riding, drums",1,"'Volunteering (preferably at health related institutions), certificates, clubs",1,"'Drums, golfing, reading, drawing",,
72,"July 11th, 2023 16:44:14","July 11th, 2023 16:44:44",0:00:30,200.B2 Pure & Applied Science,F,2,,,,,,,,,,,,,,,,,,,,,,,,
73,"July 11th, 2023 17:09:31","July 11th, 2023 17:09:45",0:00:14,200.B1 Health Science,M,2,,,,,,,,,,,,,,,,,,,,,,,,
74,"July 11th, 2023 17:50:31","July 11th, 2023 17:53:44",0:03:13,200.HH Honours Health Science,F,1,1,0,0,0,1,0,'Collège Durocher Saint-Lambert,1,1,1,'Mandarin,1,0,0,,2,1,'Volunteering,1,"'Clubs (dance crew especially), volunteering",1,"'Creative writing, reading, music (singing or instruments), dance",,
75,"July 11th, 2023 18:15:53","July 11th, 2023 18:24:28",0:08:35,200.B1 Health Science,F,1,1,0,0,1,0,0,'Lycée français de Nairobi,1,1,0,,1,1,0,,1,2,,1,'Photography Club,1,'Guitar,,
76,"July 11th, 2023 19:00:47","July 11th, 2023 19:02:55",0:02:08,200.HH Honours Health Science,M,1,0,1,0,0,1,0,'College Charlemagne,1,1,0,,1,0,0,,2,1,'Hockey (city),2,,2,,,
77,"July 11th, 2023 19:16:05","July 11th, 2023 19:16:39",0:00:34,300.CM Social Sc. - Commerce,F,2,,,,,,,,,,,,,,,,,,,,,,,,
78,"July 11th, 2023 19:42:02","July 11th, 2023 19:46:27",0:04:25,200.B2 Pure & Applied Science,F,1,1,0,0,0,1,0,'Collège Jean-de-Brébeuf,1,1,1,'Mandarin,1,1,0,,1,2,,1,"'Photography club, Ultimate frisbee",1,"'Gaming, Anime, Ultimate frisbee",,
79,"July 11th, 2023 19:52:35","July 11th, 2023 20:00:43",0:08:08,200.B2 Pure & Applied Science,F,1,1,0,0,1,1,0,'École Internationale de Montréal,1,1,0,,1,0,0,,2,2,,1,"'Hospital volunteering, dragon boat, debate/Model UN, badminton",1,"'photography, finance",,
80,"July 11th, 2023 19:42:23","July 11th, 2023 20:01:47",0:19:24,200.B1 Health Science,F,1,1,0,0,0,1,0,'Collège Jean-de-Brébeuf,1,1,1,'mandarin,1,1,0,,2,1,"'volunteering at a hospital, piano, boat sailing",1,"'any volunteering club, interest in debate/model UN club, want to create a club, otherwise dragon boat club",1,'crochet!,,
81,"July 11th, 2023 20:10:49","July 11th, 2023 20:13:41",0:02:52,200.B1 Health Science,M,1,0,1,0,0,1,0,'Kuper Academy,0,0,1,'Chinese,1,0,1,'Chinese,2,2,,1,'Such as rock band,1,"'Drum, anime",,
82,"July 11th, 2023 20:31:34","July 11th, 2023 20:39:28",0:07:54,200.HH Honours Health Science,F,1,1,0,0,0,1,0,'Lester B. Pearson,1,1,0,,1,0,0,,2,1,'swimming,2,,1,"'reading, drawing, swimming, gym",,
83,"July 11th, 2023 21:31:09","July 11th, 2023 21:31:20",0:00:11,200.B2 Pure & Applied Science,M,2,,,,,,,,,,,,,,,,,,,,,,,,
84,"July 11th, 2023 21:45:36","July 11th, 2023 21:45:49",0:00:13,300.CM Social Sc. - Commerce,F,2,,,,,,,,,,,,,,,,,,,,,,,,
85,"July 11th, 2023 23:06:05","July 11th, 2023 23:09:07",0:03:02,300.HB Social Sc. - Human Behavior,F,1,1,0,0,0,1,0,'Westmount High School,1,0,0,,1,0,0,,2,1,'Competitive Irish Dancing,1,'Not sure yet,2,,,
86,"July 11th, 2023 23:08:13","July 11th, 2023 23:13:57",0:05:44,200.HH Honours Health Science,F,1,1,0,0,0,1,0,'Villa Maria,1,1,0,,1,0,0,,1,1,"'Soccer, Glenn Hospital, violin,church",1,'Clubs,1,"'Violin, arts, soccer",,
87,"July 12th, 2023 00:30:56","July 12th, 2023 00:32:35",0:01:39,200.HH Honours Health Science,M,1,0,1,0,0,1,0,'West Island College,1,1,1,'Mandrin,1,0,0,,2,1,"'Leadership Team, Debating Club, Investment Club, Creative Writing Club, SLIPP volenteering program, Robotics Team",1,"'Young Leaders Organization , Young Executive Business Club, Investment Club, Health Science Club, Commerce Society, Debate Club, Public Speaking, News Blitz Newspaper, Engineering Club",1,"'Swimming, Workout, Finance & Business, Psychology, Life Science, Bedminton, Tennis, Snow Skiing, Ice Skating, Canoe",,
88,"July 12th, 2023 07:11:41","July 12th, 2023 07:11:54",0:00:13,200.B2 Pure & Applied Science,M,2,,,,,,,,,,,,,,,,,,,,,,,,
89,"July 12th, 2023 07:24:21","July 12th, 2023 07:24:47",0:00:26,200.B1 Health Science,F,2,,,,,,,,,,,,,,,,,,,,,,,,
90,"July 12th, 2023 08:39:52","July 12th, 2023 08:46:35",0:06:43,200.HH Honours Health Science,M,1,0,1,0,0,1,0,'Blyth Academy,1,1,0,,1,1,0,,1,1,'Club Friends of Doctors Without Borders,1,"'Clubs, Certificates",1,"'Biking, Canoeing, Music",,
91,"July 12th, 2023 10:18:28","July 12th, 2023 10:25:25",0:06:57,200.B2 Pure & Applied Science,F,1,1,0,0,0,1,0,'Collège Sainte-Marcelline,1,1,1,'Mandarin,0,0,1,'Mandarin,2,1,"'Badminton, tennis",1,"'Computer science club, math club, tennis club, hallyu",1,'Singing,,
92,"July 12th, 2023 10:45:19","July 12th, 2023 10:45:36",0:00:17,200.B2 Pure & Applied Science,M,2,,,,,,,,,,,,,,,,,,,,,,,,
93,"July 12th, 2023 11:37:50","July 12th, 2023 11:41:28",0:03:38,300.C1 Social Sc. - Core,F,1,1,0,0,0,1,0,'Collège reine marie,1,1,0,,1,1,0,,2,2,,2,,1,'Swimming boxing sports in general,,
94,"July 12th, 2023 12:10:20","July 12th, 2023 12:10:40",0:00:20,300.L1 Social Sc. - LSJ,M,2,,,,,,,,,,,,,,,,,,,,,,,,
95,"July 12th, 2023 12:37:20","July 12th, 2023 12:40:43",0:03:23,200.HH Honours Health Science,F,1,1,0,0,0,1,0,'Collège Saint-Louis,1,1,1,'Dialect of Cantonese,1,1,0,,2,2,,1,'clubs related to med,2,,,
96,"July 12th, 2023 14:36:27","July 12th, 2023 14:38:08",0:01:41,300.CM Social Sc. - Commerce,M,1,0,1,0,0,1,0,'Jean de la mennais,1,1,0,,1,1,0,,1,2,,1,'i dont really know right now,1,"'sports, video games,history",,
97,"July 12th, 2023 14:57:22","July 12th, 2023 15:00:20",0:02:58,200.B1 Health Science,F,1,1,0,0,0,1,0,'Saint-luc,1,1,1,'Mandarin,1,1,1,'I would love to learn a new language,2,1,"'Hospital, tennis, violin",1,"'Tennis, badminton, climate, hospital/medical clubs",1,"'Tennis, badminton, Violin, guitar, drawing",,
98,"July 12th, 2023 17:04:36","July 12th, 2023 17:04:52",0:00:16,700.A0 Arts and Sciences,F,2,,,,,,,,,,,,,,,,,,,,,,,,
99,"July 12th, 2023 17:51:47","July 12th, 2023 17:52:31",0:00:44,200.B2 Pure & Applied Science,M,2,,,,,,,,,,,,,,,,,,,,,,,,
100,"July 12th, 2023 18:00:08","July 12th, 2023 18:03:27",0:03:19,200.HP Honours Pure & Applied Science,M,1,0,1,0,0,1,0,'Collège Jean de la Mennais,1,1,0,,1,1,0,,2,2,,2,,1,'Fencing,,
101,"July 12th, 2023 18:23:51","July 12th, 2023 18:31:36",0:07:45,200.B2 Pure & Applied Science,F,1,1,0,0,0,1,0,'Villa Maria,1,1,0,,1,0,0,,1,2,,1,"'Italian club, study in groups, dance club",1,'Dance/ballet,,
102,"July 12th, 2023 18:37:00","July 12th, 2023 18:40:59",0:03:59,200.HH Honours Health Science,M,1,0,1,0,0,1,0,'Loyola High School,1,1,0,,1,0,0,,2,1,"'soccer, swimming, volunteering",1,'Soccer and different clubs,1,"'Music, sports and reading",,
103,"July 12th, 2023 19:18:36","July 12th, 2023 19:19:48",0:01:12,200.HP Honours Pure & Applied Science,M,1,0,1,0,0,1,0,'Beaconsfield High School,1,0,0,,1,0,0,,2,1,"'Math Competitions, Math Research, Volunteering at community center",1,"'Mainly math related extra circulars, I would want to be matched with someone who has experience in math olympiads and is involved with the math club",2,,,
104,"July 12th, 2023 19:54:58","July 12th, 2023 19:55:12",0:00:14,300.CM Social Sc. - Commerce,M,2,,,,,,,,,,,,,,,,,,,,,,,,
105,"July 12th, 2023 20:06:38","July 12th, 2023 20:06:56",0:00:18,200.11 Music & Science,F,2,,,,,,,,,,,,,,,,,,,,,,,,
106,"July 12th, 2023 20:09:18","July 12th, 2023 20:12:19",0:03:01,300.L1 Social Sc. - LSJ,F,1,1,0,0,1,0,0,'Centennial Regional High School, Society and Justice,1,0,1,'Spanish,1,0,0,,2,1,"'Soccer, UN Models, Pastoral (volunteering to help children with cancer)",1,"'Soccer Team, UN Model",1,"'Dancing, Reading, Painting",
